Country,Continent,Land_Area,Border_Length
United Arab Emirates,Middle East,83600.0,1066.0
Algeria,Africa,2381741.0,6734.0
Angola,Africa,1246700.0,5369.0
Argentina,South America,2780400.0,11968.0
Australia,Australia-Oceania,7741220.0,38.7
Austria,Europe,83871.0,2524.0
Belgium,Europe,30528.0,1297.0
Bosnia and Herzegovina,Europe,51197.0,1543.0
Bolivia,South America,1098581.0,7252.0
Brazil,South America,8515770.0,16145.0
Bulgaria,Europe,110879.0,1806.0
Canada,North America,9984670.0,8893.0
Democratic Republic of the Congo,Africa,2344858.0,10481.0
China,East & Southeast Asia,9596960.0,22457.0
Chile,South America,756102.0,7801.0
Cameroon,Africa,475440.0,5018.0
Colombia,South America,1138910.0,6672.0
Costa Rica,Central America and Caribbean,51100.0,661.0
Cuba,Central America and Caribbean,110860.0,28.5
Denmark,Europe,43094.0,140.0
Ecuador,South America,283561.0,2237.0
Egypt,Africa,1001450.0,2612.0
Ireland,Europe,70273.0,443.0
El Salvador,Central America and Caribbean,21041.0,590.0
France,Europe,643801.0,2751.0
Ghana,Africa,238533.0,2420.0
Germany,Europe,357022.0,3714.0
Greece,Europe,131957.0,1110.0
Haiti,Central America and Caribbean,27750.0,376.0
Honduras,Central America and Caribbean,112090.0,1575.0
Croatia,Europe,56594.0,2237.0
Hungary,Europe,93028.0,2106.0
Iceland,Europe,103000.0,36.5
Iran,Middle East,1648195.0,5894.0
Israel,Middle East,20770.0,1068.0
Italy,Europe,301340.0,1836.4
Ivory Coast,Africa,322463.0,3458.0
Iraq,Middle East,438317.0,3809.0
Japan,East & Southeast Asia,377915.0,47.3
Jamaica,Central America and Caribbean,10991.0,26.0
North Korea,East & Southeast Asia,120538.0,1607.0
South Korea,East & Southeast Asia,99720.0,237.0
Kuwait,Middle East,17818.0,475.0
Slovakia,Europe,49035.0,1611.0
Morocco,Africa,446550.0,2362.5
Mexico,North America,1964375.0,4389.0
Nigeria,Africa,923768.0,4477.0
Netherlands,Europe,41543.0,1053.0
Norway,Europe,323802.0,2566.0
New Zealand,Australia-Oceania,268838.0,37.9
Paraguay,South America,406752.0,4655.0
Peru,South America,1285216.0,7062.0
Poland,Europe,312685.0,3071.0
Panama,Central America and Caribbean,75420.0,687.0
Portugal,Europe,92090.0,1224.0
Qatar,Middle East,11586.0,87.0
Romania,Europe,238391.0,2844.0
Russia,Central Asia,17098242.0,22408.0
Saudi Arabia,Middle East,2149690.0,4272.0
South Africa,Africa,1219090.0,5244.0
Senegal,Africa,196722.0,2684.0
Slovenia,Europe,20273.0,1211.0
Spain,Europe,505370.0,1952.7
Sweden,Europe,450295.0,2211.0
Switzerland,Europe,41277.0,1770.0
Trinidad and Tobago,Central America and Caribbean,5128.0,36.0
Togo,Africa,56785.0,1880.0
Tunisia,Africa,163610.0,1495.0
Turkey,Middle East,783562.0,2816.0
United Kingdom,Europe,243610.0,443.0
Ukraine,Europe,603550.0,5618.0
United States,North America,9833517.0,12048.0
Uruguay,South America,176215.0,1591.0
